month,day,year,time,latitude,longitude,depth,magnitude,magType,place
10,9,1900,12:25:00,57.09,-153.48,,7.86,mw,"16 km SW of Old Harbor, Alaska"
12,30,1901,22:34:00,52,-160,,7,ms,south of Alaska
12,31,1901,09:02:30,51.45,-171.02,,7.1,ms,"221 km SW of Nikolski, Alaska"
1,1,1902,05:20:30,52.38,-167.45,,7,ms,"113 km ESE of Nikolski, Alaska"
1,17,1903,16:05:00,50.85,-175.16,,7,ms,"153 km SE of Adak, Alaska"
4,4,1904,10:26:00,41.758,23.249,15,7.02,mw,"7 km SE of Stara Kresna, Bulgaria"
6,25,1904,14:45:39,51.424,161.638,15,7.5,mw,"274 km SE of Petropavlovsk-Kamchatsky, Russia"
6,25,1904,21:00:38,52.763,160.277,30,7.7,mw,"115 km ESE of Petropavlovsk-Kamchatsky, Russia"
8,27,1904,21:56:00,64.66,-148.08,,7.3,ms,"21 km S of Ester, Alaska"
8,30,1904,11:43:20,30.684,100.608,15,7.09,mw,"150 km WNW of Kangding, China"
12,20,1904,05:44:20,8.962,-84.042,10,7.29,mw,"53 km SSE of Quepos, Costa Rica"
1,13,1905,13:20:39,-3.586,149.551,15,7.42,mw,"177 km SW of Kavieng, Papua New Guinea"
2,13,1905,05:23:40,-17.221,162.523,15,7,mw,New Caledonia
2,14,1905,08:46:00,50.73,-178.55,,7.3,ms,"184 km SW of Adak, Alaska"
2,14,1905,08:46:34,51.89,-176.702,35,7.59,mw,"5 km WNW of Adak, Alaska"
2,17,1905,11:41:07,23.689,97.17,15,7.26,mw,"62 km S of Bhamo, Myanmar"
2,19,1905,04:34:55,-14.123,169.457,15,7.33,mw,"207 km E of Sola, Vanuatu"
3,4,1905,23:17:22,-4.635,149.105,15,7.01,mw,"152 km NW of Kimbe, Papua New Guinea"
3,18,1905,23:57:40,-24.363,-173.399,15,7.36,mw,south of Tonga
3,22,1905,03:38:00,51.28,174.83,,7,ms,"207 km SSE of Attu Station, Alaska"
3,22,1905,03:38:44,51.145,-179.859,35,7.18,mw,"238 km WSW of Adak, Alaska"
4,4,1905,00:49:59,32.597,76.916,20,7.9,mw,"10 km WNW of Kyelang, India"
5,18,1905,13:45:27,-2.282,149.949,15,7.15,mw,"99 km WNW of Kavieng, Papua New Guinea"
7,6,1905,16:20:46,38.417,144.119,15,7.67,mw,"217 km ESE of Kamaishi, Japan"
7,9,1905,09:40:39,49.709,98.483,15,7.95,mw,"106 km N of Tosontsengel, Mongolia"
7,23,1905,02:46:24,49.292,96.843,15,8.33,mw,"121 km WNW of Tosontsengel, Mongolia"
9,8,1905,01:43:02,38.636,15.784,15,7.19,mw,"5 km W of San Nicolò, Italy"
9,15,1905,06:02:00,52.06,-171.45,,7.4,ms,"188 km E of Atka, Alaska"
9,15,1905,06:02:20,55.751,163.952,15,7.84,mw,"off the east coast of the Kamchatka Peninsula, Russia"
9,29,1905,11:52:08,-8.277,127.465,35,7.16,mw,"58 km ENE of Lospalos, Timor Leste"
11,8,1905,22:06:11,40.092,24.627,15,7.24,mw,Aegean Sea
1,21,1906,13:49:33,34.175,138.025,300,7.4,mw,"50 km SSW of ?yama, Japan"
1,31,1906,15:36:10,0.955,-79.369,20,8.8,mw,1906 Ecuador-Colombia Earthquake
2,19,1906,01:59:55,-9.899,160.04,15,7.3,mw,"41 km ESE of Malango, Solomon Islands"
4,10,1906,21:22:53,24.684,-110.436,15,7.29,mw,"61 km NNW of La Paz, Mexico"
4,14,1906,03:57:36,-22.291,171.324,35,7.12,mw,southeast of the Loyalty Islands
4,18,1906,13:12:26,37.75,-122.55,11.7,7.9,mw,The 1906 San Francisco Earthquake
6,1,1906,04:30:50,-2.495,138.56,35,7.84,mw,"230 km W of Abepura, Indonesia"
6,19,1906,11:22:36,19.008,122.582,15,7.09,mw,"71 km NE of San Vicente, Philippines"
8,17,1906,00:11:10,51.853,178.18,110,8.3,mw,"Rat Islands, Aleutian Islands, Alaska"
8,17,1906,00:40:04,-32.4,-71.4,35,8.2,mw,"16 km WNW of La Ligua, Chile"
8,26,1906,06:01:09,-2.489,144.187,15,7.13,mw,"132 km NNE of Wewak, Papua New Guinea"
9,7,1906,18:52:28,34.745,142.542,15,7.29,mw,"190 km SE of Hasaki, Japan"
9,14,1906,16:04:43,-6.252,147.216,35,8,mw,"57 km NNE of Lae, Papua New Guinea"
10,2,1906,01:51:51,-6.321,147.589,35,7.63,mw,"38 km NW of Finschhafen, Papua New Guinea"
10,24,1906,14:43:18,37.032,67.132,35,7.1,mw,"24 km SSW of Tirmiz, Uzbekistan"
11,14,1906,17:37:28,-22.539,171.614,35,7.21,mw,southeast of the Loyalty Islands
11,19,1906,07:18:24,-21.244,108.498,10,7.37,mw,northwest of Australia
12,19,1906,01:14:38,-19.229,-173.156,35,7.23,mw,"108 km SE of Neiafu, Tonga"
12,22,1906,18:21:12,43.988,84.93,15,7.95,mw,"95 km WSW of Shihezi, China"
12,23,1906,17:21:32,58.556,-149.472,15,7.03,mw,"153 km SE of Halibut Cove, Alaska"
12,23,1906,17:22:00,56.85,-153.9,,7.3,ms,"19 km ESE of Akhiok, Alaska"
1,2,1907,11:56:08,-19.071,-173.306,30,7.3,mw,"85 km ESE of Neiafu, Tonga"
1,4,1907,05:19:13,2.681,95.53,25,8.2,mw,"97 km WNW of Sinabang, Indonesia"
4,15,1907,06:08:25,16.606,-97.246,30,7.8,mw,"2 km NW of Teojomulco, Mexico"
4,18,1907,20:59:53,14.39,122.72,15,7.52,mw,"7 km N of Luklukan, Philippines"
4,18,1907,23:52:34,14.67,123.382,15,7.44,mw,"70 km NE of Sabang Indan, Philippines"
5,7,1907,10:16:49,-3.648,144.242,30,7.26,mw,"49 km NNE of Angoram, Papua New Guinea"
5,25,1907,14:02:06,51.086,150.453,550,7.65,mw,Sea of Okhotsk
7,1,1907,13:08:48,11.663,-87.847,15,7.17,mw,"116 km SW of Corinto, Nicaragua"
7,20,1907,13:38:22,8.316,126.188,35,7.06,mw,"10 km W of Bigaan, Philippines"
9,2,1907,16:01:00,52.59,169.73,,7.4,ms,"235 km W of Attu Station, Alaska"
9,2,1907,16:01:30,51.505,172.814,15,7.37,mw,"151 km S of Attu Station, Alaska"
10,11,1907,14:27:45,-16.149,168.892,15,7.1,mw,"157 km E of Lakatoro, Vanuatu"
10,16,1907,13:57:22,29.379,-113.059,15,7.44,mw,"69 km SSW of La Libertad, Mexico"
10,21,1907,04:23:54,39.216,67.999,20,7.44,mw,"45 km SE of Panjakent, Tajikistan"
12,30,1907,05:26:55,10.679,-86.49,35,7.29,mw,"92 km SW of San Juan del Sur, Nicaragua"
1,11,1908,03:34:36,22.074,121.788,15,7.22,mw,"108 km E of Hengchun, Taiwan"
3,5,1908,02:17:38,11.343,124.647,15,7.11,mw,"5 km N of Capoocan, Philippines"
3,26,1908,23:03:30,16.546,-98.986,25,7.46,mw,"6 km S of Copala, Mexico"
3,27,1908,03:47:23,16.79,-100.054,25,7.18,mw,"15 km SSW of Colonia Luces en el Mar, Mexico"
5,5,1908,06:17:47,0.513,125.487,35,7.26,mw,"108 km SE of Tondano, Indonesia"
8,17,1908,10:38:54,-53.96,-56.837,10,7.42,mw,Falkland Islands region
8,20,1908,09:53:25,31.209,87.679,15,7.04,mw,"246 km NNW of Rikaze, China"
11,6,1908,07:09:30,45.599,149.844,15,7.23,mw,"159 km ENE of Kuril’sk, Russia"
12,12,1908,12:54:55,26.72,97.117,15,7.18,mw,"64 km NNE of Sarupathar, India"
12,28,1908,04:20:27,37.965,15.487,15,7.09,mw,"7 km SE of Alì Terme, Italy"
1,23,1909,02:48:29,34.306,50.396,15,7.3,mw,"43 km NW of Del?j?n, Iran"
3,12,1909,23:18:38,35.897,141.719,15,7.03,mw,"82 km ENE of Hasaki, Japan"
3,13,1909,14:28:59,35.267,142.387,15,7.11,mw,"150 km ESE of Hasaki, Japan"
4,10,1909,19:34:51,52.244,170.919,35,7.01,mw,"167 km WSW of Attu Station, Alaska"
4,10,1909,19:36:00,52,175,,7,ms,"155 km SE of Attu Station, Alaska"
4,27,1909,12:42:53,-3.315,144.171,15,7.06,mw,"65 km ENE of Wewak, Papua New Guinea"
6,3,1909,18:40:43,-2.713,101.188,35,7.58,mw,"76 km SSW of Sungai Penuh, Indonesia"
6,8,1909,05:46:37,-26.154,-70.502,35,7.48,mw,"50 km WNW of Diego de Almagro, Chile"
7,7,1909,21:37:51,36.324,70.357,200,7.7,mw,"52 km ESE of Farkh?r, Afghanistan"
7,30,1909,10:51:51,16.463,-99.529,20,7.5,mw,"27 km SSE of San Andrés Playa Encantada (El Podrido), Mexico"
10,20,1909,23:41:39,28.668,67.404,15,7.16,mw,"58 km SW of Bhag, Pakistan"
10,31,1909,10:23:21,16.643,-100.966,10,7.07,mw,"66 km SSW of Nuxco, Mexico"
12,9,1909,15:34:08,-9.986,160.485,35,7.04,mw,"84 km SE of Honiara, Solomon Islands"
12,9,1909,23:28:45,12.408,144.951,15,7.01,mw,"98 km SSE of Inarajan Village, Guam"
3,31,1910,18:23:02,-58.317,-65.477,10,7.11,mw,Drake Passage
4,12,1910,00:22:24,25.967,124.304,235,8.1,mw,"163 km NW of Hirara, Japan"
5,22,1910,06:24:02,43.418,150.109,15,7.15,mw,"268 km SE of Kuril’sk, Russia"
6,16,1910,06:30:42,-19.601,169.547,100,7.84,mw,"28 km ESE of Isangel, Vanuatu"
6,29,1910,10:45:14,-30.907,-177.099,35,7.1,mw,
9,9,1910,01:13:16,50.978,-176.351,35,7.02,mw,"101 km S of Adak, Alaska"
9,9,1910,01:13:18,50.75,179.38,,7,ms,"Rat Islands, Aleutian Islands, Alaska"
11,9,1910,06:01:59,-16.273,167.013,20,7.41,mw,"47 km WSW of Norsup, Vanuatu"
11,15,1910,14:21:32,-59.11,-23.942,15,7.22,mw,South Sandwich Islands region
11,26,1910,04:41:19,-14.532,167.057,35,7.18,mw,"56 km N of Port-Olry, Vanuatu"
12,10,1910,09:26:46,-10.68,162.292,35,7.46,mw,"47 km ESE of Kirakira, Solomon Islands"
12,16,1910,14:44:55,4.668,126.017,15,7.61,mw,"101 km SE of Sarangani, Philippines"
1,3,1911,23:25:49,42.919,76.808,20,8.02,mw,"The 1911 Kemin Earthquake, Kyrgyzstan"
2,18,1911,18:41:09,38.289,72.596,15,7.23,mw,"120 km W of Murghob, Tajikistan"
4,28,1911,09:52:14,-9.207,-71.267,560,7.38,mw,"128 km SSW of Tarauacá, Brazil"
6,7,1911,11:02:49,18.362,-102.471,30,7.6,mw,"19 km W of Arteaga, Mexico"
6,15,1911,14:25:58,29.141,128.803,150,7.9,mw,"108 km NW of Naze, Japan"
7,12,1911,04:07:38,8.488,127.029,15,7.7,mw,"74 km ENE of Barcelona, Philippines"
8,16,1911,22:41:17,7.273,137.021,15,7.83,mw,"State of Yap, Federated States of Micronesia"
9,17,1911,03:26:00,51,180,,7.1,ms,"253 km WSW of Adak, Alaska"
12,16,1911,19:14:27,16.932,-100.665,30,7.51,mw,"25 km S of Tetitlán, Mexico"
5,23,1912,02:24:03,21.031,96.859,15,7.88,mw,"32 km NW of Taunggyi, Myanmar"
7,7,1912,07:57:00,63.07,-146.14,,7.2,ms,"26 km W of Paxson, Alaska"
7,7,1912,07:57:39,63.604,-148.03,10,7.27,mw,"46 km ESE of Denali Park, Alaska"
8,9,1912,01:29:02,40.73,27.121,15,7.23,mw,"25 km SE of Malkara, Turkey"
8,17,1912,19:11:56,3.568,125.973,35,7.49,mw,"210 km SSE of Sarangani, Philippines"
9,29,1912,20:51:23,7.301,136.855,15,7.64,mw,"245 km E of Melekeok Village, Palau"
11,7,1912,07:40:21,57.592,-154.389,35,7.08,mw,"4 km ENE of Karluk, Alaska"
1,11,1913,13:16:58,1.373,121.928,35,7.11,mw,"156 km NW of Gorontalo, Indonesia"
3,14,1913,08:45:05,5.544,125.891,15,7.88,mw,"47 km ESE of Kalbay, Philippines"
4,13,1913,06:40:28,32.033,131.795,35,7.21,mw,"29 km ESE of Takanabe, Japan"
4,25,1913,17:56:33,9.265,126.843,15,7.19,mw,"70 km ENE of La Paz, Philippines"
5,18,1913,02:08:55,14.257,147.09,15,7.04,mw,"176 km ESE of San Jose Village, Northern Mariana Islands"
5,30,1913,11:47:12,-4.789,151.512,15,7.36,mw,"97 km SW of Rabaul, Papua New Guinea"
6,22,1913,13:49:52,48,-178,,7.2,uk,south of the Aleutian Islands
6,26,1913,04:57:18,-20.68,-173.808,25,7.79,mw,"111 km SSE of Pangai, Tonga"
8,1,1913,17:11:03,48.108,156.059,15,7.03,mw,"285 km S of Severo-Kuril’sk, Russia"
8,6,1913,22:14:36,-16.534,-73.738,25,7.73,mw,"37 km SSW of Atico, Peru"
1,30,1914,03:36:06,-34.763,-73.309,15,7.69,mw,"103 km NW of Constitución, Chile"
3,14,1914,20:00:06,39.284,140.698,15,7.04,mw,"13 km ESE of Yokote, Japan"
3,30,1914,00:41:04,14.608,-93.976,15,7.2,mw,"127 km SW of La Esperanza (El Zapotal), Mexico"
4,11,1914,16:30:18,-11.3,162.725,15,7.29,mw,"128 km SE of Kirakira, Solomon Islands"
5,26,1914,14:22:46,-1.98,136.944,15,8.15,mw,"130 km SE of Biak, Indonesia"
6,25,1914,19:07:25,-4.012,101.638,35,7.55,mw,"73 km WSW of Bengkulu, Indonesia"
8,4,1914,22:41:43,43.227,91.616,15,7.42,mw,"160 km WNW of Hami, China"
10,3,1914,17:22:09,16.275,-60.212,15,7.04,mw,"92 km E of Beauséjour, Guadeloupe"
10,3,1914,22:07:06,37.666,30.125,15,7.06,mw,"15 km WSW of Burdur, Turkey"
10,23,1914,06:18:45,4.206,128.022,35,7.48,mw,"273 km N of Tobelo, Indonesia"
2,28,1915,18:59:11,23.582,123.668,20,7.21,mw,"98 km SSW of Ishigaki, Japan"
5,1,1915,05:00:10,48.392,155,30,7.83,mw,"266 km SSW of Severo-Kuril’sk, Russia"
7,31,1915,01:31:31,54.05,162.089,20,7.34,mw,"233 km SE of Atlasovo, Russia"
