Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
Tsunami,1950,01,30,"-53.5, -71.5",-53.5,-71.5,7,CHILE,,CHILE:  SOUTHERN,,Few (~1 to 50 deaths),,,,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,,,"-53.5, -71.5"
,1950,02,02,"21.7, 100.1",21.7,100.1,7,CHINA,,CHINA:  YUNNAN PROVINCE,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"21.7, 100.1"
,1950,02,28,"46.0, 144.0",46,144,7.9,RUSSIA,,RUSSIA:  SEA OF OKHOTSK,,,,,,,,,,,,,,,,,,,,,,,,,"46.0, 144.0"
,1950,05,16,"-15.0, -69.5",-15,-69.5,7.9,PERU,,PERU,,,,,,,,,,,,,,,,,,,,,,,,,"-15.0, -69.5"
Tsunami,1950,08,15,"28.5, 96.5",28.5,96.5,8.6,INDIA,,INDIA-CHINA,1530,Very Many (~1001 or more deaths),,,,,20,SEVERE (~>$5 to $24 million),,,,,1530,Very Many (~1001 or more deaths),,,,,20.000,SEVERE (~>$5 to $24 million),,,,,"28.5, 96.5"
Tsunami,1950,10,05,"11.0, -85.0",11,-85,7.7,COSTA RICA,,COSTA RICA-NICARAGUA,,,,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,"11.0, -85.0"
Tsunami,1950,10,08,"-3.8, 128.3",-3.8,128.3,7.6,INDONESIA,,INDONESIA:  SERAM,,,,,,,,,,,,,1,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,Many (~101 to 1000 houses),"-3.8, 128.3"
Tsunami,1950,10,23,"14.31, -91.917",14.31,-91.917,7.5,GUATEMALA,,GUATEMALA:  SAN MARCOS,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,Many (~101 to 1000 houses),,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"14.31, -91.917"
,1950,11,02,"-6.5, 129.5",-6.5,129.5,8.1,INDONESIA,,INDONESIA:  BANDA SEA,,,,,,,,,,,,,,,,,,,,,,,,,"-6.5, 129.5"
Tsunami,1950,11,08,"-10.0, 159.5",-10,159.5,7.3,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SOLOMON SEA,,,,,,,,,,,,,,,,,,,,,,,,,"-10.0, 159.5"
