Entity,Code,Year,Earthquake deaths (NGDC-NOAA)
Afghanistan,AFG,1500,0
Afghanistan,AFG,1501,0
Afghanistan,AFG,1502,0
Afghanistan,AFG,1509,0
Afghanistan,AFG,1511,0
Afghanistan,AFG,1515,0
Afghanistan,AFG,1531,0
Afghanistan,AFG,1542,0
Afghanistan,AFG,1551,0
Afghanistan,AFG,1556,0
Afghanistan,AFG,1560,0
Afghanistan,AFG,1561,0
Afghanistan,AFG,1564,0
Afghanistan,AFG,1568,0
Afghanistan,AFG,1570,0
Afghanistan,AFG,1575,0
Afghanistan,AFG,1579,0
Afghanistan,AFG,1584,0
Afghanistan,AFG,1586,0
Afghanistan,AFG,1587,0
Afghanistan,AFG,1596,0
Afghanistan,AFG,1597,0
Afghanistan,AFG,1600,0
Afghanistan,AFG,1601,0
Afghanistan,AFG,1604,0
Afghanistan,AFG,1605,0
Afghanistan,AFG,1606,0
Afghanistan,AFG,1609,0
Afghanistan,AFG,1611,0
Afghanistan,AFG,1613,0
Afghanistan,AFG,1616,0
Afghanistan,AFG,1618,0
Afghanistan,AFG,1619,0
Afghanistan,AFG,1622,0
Afghanistan,AFG,1626,0
Afghanistan,AFG,1627,0
Afghanistan,AFG,1628,0
Afghanistan,AFG,1631,0
Afghanistan,AFG,1633,0
Afghanistan,AFG,1634,0
Afghanistan,AFG,1636,0
Afghanistan,AFG,1638,0
Afghanistan,AFG,1640,0
Afghanistan,AFG,1644,0
Afghanistan,AFG,1645,0
Afghanistan,AFG,1647,0
Afghanistan,AFG,1649,0
Afghanistan,AFG,1652,0
Afghanistan,AFG,1654,0
Afghanistan,AFG,1657,0
Afghanistan,AFG,1659,0
Afghanistan,AFG,1660,0
Afghanistan,AFG,1662,0
Afghanistan,AFG,1664,0
Afghanistan,AFG,1666,0
Afghanistan,AFG,1667,0
Afghanistan,AFG,1668,0
Afghanistan,AFG,1672,0
Afghanistan,AFG,1673,0
Afghanistan,AFG,1674,0
Afghanistan,AFG,1677,0
Afghanistan,AFG,1679,0
Afghanistan,AFG,1680,0
Afghanistan,AFG,1683,0
Afghanistan,AFG,1687,0
Afghanistan,AFG,1688,0
Afghanistan,AFG,1692,0
Afghanistan,AFG,1693,0
Afghanistan,AFG,1694,0
Afghanistan,AFG,1695,0
Afghanistan,AFG,1700,0
Afghanistan,AFG,1703,0
Afghanistan,AFG,1704,0
Afghanistan,AFG,1707,0
Afghanistan,AFG,1709,0
Afghanistan,AFG,1711,0
Afghanistan,AFG,1713,0
Afghanistan,AFG,1714,0
Afghanistan,AFG,1716,0
Afghanistan,AFG,1718,0
Afghanistan,AFG,1721,0
Afghanistan,AFG,1725,0
Afghanistan,AFG,1726,0
Afghanistan,AFG,1727,0
Afghanistan,AFG,1730,0
Afghanistan,AFG,1732,0
Afghanistan,AFG,1736,0
Afghanistan,AFG,1737,0
Afghanistan,AFG,1738,0
Afghanistan,AFG,1739,0
Afghanistan,AFG,1746,0
Afghanistan,AFG,1748,0
Afghanistan,AFG,1750,0
Afghanistan,AFG,1751,0
Afghanistan,AFG,1754,0
Afghanistan,AFG,1755,0
Afghanistan,AFG,1757,0
Afghanistan,AFG,1758,0
Afghanistan,AFG,1761,0
Afghanistan,AFG,1762,0
Afghanistan,AFG,1763,0
Afghanistan,AFG,1765,0
Afghanistan,AFG,1766,0
Afghanistan,AFG,1770,0
Afghanistan,AFG,1771,0
Afghanistan,AFG,1773,0
Afghanistan,AFG,1780,0
Afghanistan,AFG,1781,0
Afghanistan,AFG,1782,0
Afghanistan,AFG,1783,0
Afghanistan,AFG,1784,0
Afghanistan,AFG,1785,0
Afghanistan,AFG,1786,0
Afghanistan,AFG,1787,0
Afghanistan,AFG,1788,0
Afghanistan,AFG,1790,0
Afghanistan,AFG,1791,0
Afghanistan,AFG,1792,0
Afghanistan,AFG,1793,0
Afghanistan,AFG,1797,0
Afghanistan,AFG,1799,0
Afghanistan,AFG,1802,0
Afghanistan,AFG,1804,0
Afghanistan,AFG,1808,0
Afghanistan,AFG,1810,0
Afghanistan,AFG,1811,0
Afghanistan,AFG,1812,0
Afghanistan,AFG,1814,0
Afghanistan,AFG,1815,0
Afghanistan,AFG,1816,0
Afghanistan,AFG,1818,0
Afghanistan,AFG,1819,0
Afghanistan,AFG,1820,0
Afghanistan,AFG,1821,0
Afghanistan,AFG,1822,0
Afghanistan,AFG,1825,0
Afghanistan,AFG,1827,0
Afghanistan,AFG,1828,0
Afghanistan,AFG,1829,0
Afghanistan,AFG,1830,0
Afghanistan,AFG,1831,0
Afghanistan,AFG,1833,0
Afghanistan,AFG,1834,0
Afghanistan,AFG,1835,0
Afghanistan,AFG,1837,0
Afghanistan,AFG,1839,0
Afghanistan,AFG,1840,0
Afghanistan,AFG,1842,0
Afghanistan,AFG,1843,0
Afghanistan,AFG,1844,0
Afghanistan,AFG,1845,0
Afghanistan,AFG,1846,0
Afghanistan,AFG,1847,0
Afghanistan,AFG,1848,0
Afghanistan,AFG,1850,0
Afghanistan,AFG,1851,0
Afghanistan,AFG,1852,0
Afghanistan,AFG,1853,0
Afghanistan,AFG,1854,0
Afghanistan,AFG,1855,0
Afghanistan,AFG,1856,0
Afghanistan,AFG,1857,0
Afghanistan,AFG,1858,0
Afghanistan,AFG,1859,0
Afghanistan,AFG,1861,0
Afghanistan,AFG,1862,0
Afghanistan,AFG,1863,0
Afghanistan,AFG,1864,0
Afghanistan,AFG,1865,0
Afghanistan,AFG,1866,0
Afghanistan,AFG,1867,0
Afghanistan,AFG,1868,0
Afghanistan,AFG,1869,0
Afghanistan,AFG,1870,0
Afghanistan,AFG,1872,0
Afghanistan,AFG,1874,0
Afghanistan,AFG,1875,0
Afghanistan,AFG,1877,0
Afghanistan,AFG,1878,0
Afghanistan,AFG,1879,0
Afghanistan,AFG,1880,0
Afghanistan,AFG,1881,0
Afghanistan,AFG,1882,0
Afghanistan,AFG,1883,0
Afghanistan,AFG,1884,0
Afghanistan,AFG,1885,0
Afghanistan,AFG,1886,0
Afghanistan,AFG,1887,0
Afghanistan,AFG,1888,0
Afghanistan,AFG,1889,0
Afghanistan,AFG,1890,0
Afghanistan,AFG,1891,0
Afghanistan,AFG,1893,0
Afghanistan,AFG,1894,0
Afghanistan,AFG,1895,0
Afghanistan,AFG,1896,0
Afghanistan,AFG,1897,0
Afghanistan,AFG,1898,0
Afghanistan,AFG,1899,0
Afghanistan,AFG,1900,0
Afghanistan,AFG,1901,0
Afghanistan,AFG,1902,0
Afghanistan,AFG,1903,0
Afghanistan,AFG,1904,0
Afghanistan,AFG,1905,0
Afghanistan,AFG,1906,0
Afghanistan,AFG,1907,0
Afghanistan,AFG,1908,0
Afghanistan,AFG,1909,0
Afghanistan,AFG,1910,0
Afghanistan,AFG,1911,0
Afghanistan,AFG,1912,0
Afghanistan,AFG,1913,0
Afghanistan,AFG,1914,0
Afghanistan,AFG,1915,0
Afghanistan,AFG,1916,0
Afghanistan,AFG,1917,0
Afghanistan,AFG,1918,0
Afghanistan,AFG,1920,0
Afghanistan,AFG,1922,0
Afghanistan,AFG,1923,0
Afghanistan,AFG,1924,0
Afghanistan,AFG,1925,0
Afghanistan,AFG,1926,0
Afghanistan,AFG,1927,0
Afghanistan,AFG,1928,0
Afghanistan,AFG,1929,0
Afghanistan,AFG,1930,0
Afghanistan,AFG,1931,0
Afghanistan,AFG,1932,0
Afghanistan,AFG,1933,0
Afghanistan,AFG,1934,0
Afghanistan,AFG,1935,0
Afghanistan,AFG,1936,0
Afghanistan,AFG,1937,0
Afghanistan,AFG,1938,0
Afghanistan,AFG,1939,0
Afghanistan,AFG,1940,0
Afghanistan,AFG,1941,0
Afghanistan,AFG,1942,0
Afghanistan,AFG,1943,0
Afghanistan,AFG,1944,0
Afghanistan,AFG,1945,0
Afghanistan,AFG,1946,0
Afghanistan,AFG,1947,0
Afghanistan,AFG,1948,0
Afghanistan,AFG,1949,0
Afghanistan,AFG,1950,0
Afghanistan,AFG,1951,0
Afghanistan,AFG,1952,0
Afghanistan,AFG,1953,0
Afghanistan,AFG,1954,0
Afghanistan,AFG,1955,0
Afghanistan,AFG,1956,0
Afghanistan,AFG,1957,0
Afghanistan,AFG,1958,0
Afghanistan,AFG,1959,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1961,0
Afghanistan,AFG,1962,0
Afghanistan,AFG,1963,0
Afghanistan,AFG,1964,0
Afghanistan,AFG,1965,0
Afghanistan,AFG,1966,0
Afghanistan,AFG,1967,0
Afghanistan,AFG,1968,0
Afghanistan,AFG,1969,0
Afghanistan,AFG,1970,0
Afghanistan,AFG,1971,0
Afghanistan,AFG,1972,0
Afghanistan,AFG,1973,0
Afghanistan,AFG,1974,0
Afghanistan,AFG,1975,0
Afghanistan,AFG,1976,0
Afghanistan,AFG,1977,0
Afghanistan,AFG,1978,0
Afghanistan,AFG,1979,0
Afghanistan,AFG,1980,0
Afghanistan,AFG,1981,0
Afghanistan,AFG,1982,500
Afghanistan,AFG,1983,26
Afghanistan,AFG,1984,1
Afghanistan,AFG,1985,5
Afghanistan,AFG,1986,0
Afghanistan,AFG,1987,0
Afghanistan,AFG,1988,0
Afghanistan,AFG,1989,0
Afghanistan,AFG,1990,54
Afghanistan,AFG,1991,848
Afghanistan,AFG,1992,0
Afghanistan,AFG,1993,0
Afghanistan,AFG,1994,0
Afghanistan,AFG,1995,0
Afghanistan,AFG,1996,0
Afghanistan,AFG,1997,0
Afghanistan,AFG,1998,7024
Afghanistan,AFG,1999,70
Afghanistan,AFG,2000,0
Afghanistan,AFG,2001,4
Afghanistan,AFG,2002,1166
Afghanistan,AFG,2003,0
Afghanistan,AFG,2004,5
Afghanistan,AFG,2005,5
Afghanistan,AFG,2006,0
Afghanistan,AFG,2007,0
Afghanistan,AFG,2008,0
Afghanistan,AFG,2009,24
Afghanistan,AFG,2010,11
Afghanistan,AFG,2011,0
Afghanistan,AFG,2012,75
Afghanistan,AFG,2013,18
Afghanistan,AFG,2014,0
Afghanistan,AFG,2015,403
Afghanistan,AFG,2016,6
Afghanistan,AFG,2017,0
Albania,ALB,1500,0
Albania,ALB,1501,0
Albania,ALB,1502,0
Albania,ALB,1509,0
Albania,ALB,1511,0
Albania,ALB,1515,0
Albania,ALB,1531,0
Albania,ALB,1542,0
Albania,ALB,1551,0
Albania,ALB,1556,0
Albania,ALB,1560,0
Albania,ALB,1561,0
Albania,ALB,1564,0
Albania,ALB,1568,0
Albania,ALB,1570,0
Albania,ALB,1575,0
Albania,ALB,1579,0
Albania,ALB,1584,0
Albania,ALB,1586,0
Albania,ALB,1587,0
Albania,ALB,1596,0
Albania,ALB,1597,0
Albania,ALB,1600,0
Albania,ALB,1601,0
Albania,ALB,1604,0
Albania,ALB,1605,0
Albania,ALB,1606,0
Albania,ALB,1609,0
Albania,ALB,1611,0
Albania,ALB,1613,0
Albania,ALB,1616,0
Albania,ALB,1618,0
Albania,ALB,1619,0
Albania,ALB,1622,0
Albania,ALB,1626,0
Albania,ALB,1627,0
Albania,ALB,1628,0
Albania,ALB,1631,0
Albania,ALB,1633,0
Albania,ALB,1634,0
Albania,ALB,1636,0
Albania,ALB,1638,0
Albania,ALB,1640,0
Albania,ALB,1644,0
Albania,ALB,1645,0
Albania,ALB,1647,0
Albania,ALB,1649,0
Albania,ALB,1652,0
Albania,ALB,1654,0
Albania,ALB,1657,0
Albania,ALB,1659,0
Albania,ALB,1660,0
Albania,ALB,1662,0
Albania,ALB,1664,0
Albania,ALB,1666,0
Albania,ALB,1667,0
Albania,ALB,1668,0
Albania,ALB,1672,0
Albania,ALB,1673,0
